Chi2   rChi2   BIC   AIC    Qichtot    Qimtot  R[0]  R[1]  R[2]  R[3]  R[4]  R[5]  R[6]  R[7]  R[8]  R[9]  R[10]  R[11]  Q0ch    Q1ch    Q2ch    Q3ch    Q4ch    Q5ch    Q6ch    Q7ch    Q8ch    Q9ch    Q10ch    Q11ch    Q0m    Q1m    Q2m    Q3m    Q4m    Q5m    Q6m    Q7m    Q8m    Q9m    Q10m    Q11m
501.365 2.14259 237.753 195.071 1.01373 1.01537 0.2 0.5 0.7 1.2 1.4 1.8 2 2.7 3.3 3.9 4.5 5.2 0.116138 1.48853e-08 0.170191 0.323476 0.0305905 0.20532 0.0296996 0.0623028 0.0654404 8.34333e-14 1.31561e-13 0.010576 0.092571 0.0384106 0.223814 0.191349 0.120025 0.0510389 0.162224 0.0756623 0.0494944 8.78066e-10 0.0101435 0.000634679
502.688 2.14824 238.436 195.754 1.01369 1.00693 0.2 0.5 0.8 1.2 1.7 2.1 2.2 2.8 3.3 3.4 4.6 5.2 0.110995 0.0468039 0.151573 0.29466 0.210287 0.0725964 6.25321e-08 0.0571792 0.0457076 0.0136155 1.11022e-16 0.0102675 0.0828295 0.114019 0.169623 0.227518 0.185055 0.0275599 0.0914107 0.0578516 0.0435202 2.67999e-11 0.0075472 1.70621e-11
437.777 1.87084 202.627 159.945 1.00829 1.01919 0.3 0.7 0.8 1 1.4 1.9 2.1 2.6 3.2 3.9 4.4 4.5 0.104602 0.0653044 0.244807 0.00494198 0.30213 0.0469325 0.112705 0.0686346 0.0425599 0.010585 0.00508631 5.87784e-09 0.156725 2.81144e-09 0.205623 0.0971371 0.216876 0.134426 0.0532088 0.0762876 0.0485635 0.0158115 0.0145287 1.12918e-10
436.86 1.86692 202.083 159.401 1.00834 0.99669 0.2 0.5 0.8 1.2 1.6 2 2.4 3 3.5 4.3 4.4 3.7 0.0471496 0.122319 0.203921 0.201337 0.18543 0.0750982 0.0985807 0.0436092 0.0226535 0.00737738 0.000860837 1.16916e-11 0.0835885 0.107473 0.181746 0.203134 0.146057 0.120682 0.0643376 0.0581569 0.0141904 0.0173245 4.95048e-08 1.53655e-10
717.251 3.06518 330.499 287.817 1.0132 0.987028 0.1 0.5 0.9 1.2 1.5 1.7 2.2 2.7 3.2 4.1 4.5 4.6 0.0642132 0.119525 0.152496 0.301245 0.0017162 0.160244 0.0552955 0.128989 1.90087e-12 0.029473 2.73037e-12 8.7847e-12 0.0680354 0.149414 0.187502 0.148787 0.104089 0.116157 0.108463 0.0628526 0.0285369 0.00800905 0.00518278 3.09496e-10
436.88 1.86701 202.095 159.413 1.00841 1.03217 0.3 0.7 0.9 1.2 1.5 2.1 2.4 2.8 3.3 3.9 4.4 5.1 0.101701 0.175889 0.143787 0.081204 0.249682 0.116452 0.0490946 0.0436389 0.0329356 0.0077851 0.00623779 1.32705e-12 0.171337 2.78e-09 0.282833 0.0547553 0.228577 0.11579 0.0545437 0.0609089 0.0153693 0.0402545 2.80625e-10 0.00780378
432.673 1.84903 199.589 156.907 1.00835 1.03824 0.0001 0.4 0.7 1.1 1.4 2 2.1 2.7 3.3 3.9 4.4 5 0.0314295 0.0538822 0.274946 0.0786483 0.284438 0.0601587 0.106714 0.0707439 0.0332598 0.00801866 0.00611304 5.91371e-12 0.0509661 0.0982145 0.165372 0.1771 0.209163 0.108228 0.0648212 0.0956137 0.0176973 0.0420196 5.54718e-09 0.00905026
435.143 1.85958 201.063 158.381 1.00842 1.03014 0.1 0.6 1.1 1.4 1.6 2 2.4 2.9 3.5 4.4 3.8 5.1 0.0393012 0.255902 0.241516 0.0595833 0.154633 0.0918878 0.0836998 0.0458799 0.0286611 0.00735389 8.90843e-13 2.66454e-15 0.0660709 0.247028 0.192355 0.144342 0.0506772 0.163992 0.0389392 0.0714487 0.0269223 0.0229754 0.00538844 8.44935e-13
501.48 2.14308 237.812 195.13 1.01357 1.00727 0.1 0.3 0.7 1 1.5 1.8 2.1 2.8 3.3 3.8 4.5 5.2 0.028159 0.125864 0.0385262 0.298961 0.234612 0.0844129 0.07795 0.0532156 0.0612573 8.99281e-15 4.27436e-15 0.0106087 0.0119757 0.130508 0.146455 0.205437 0.227905 0.0164711 0.154864 0.0626381 0.0424198 9.90009e-09 0.00859461 1.48093e-07
4111.54 17.5707 782.746 740.064 1.00601 2.52051 0.1 0.5 0.8 1 1.4 1.6 2 2.5 3.1 3.7 4.3 4.9 0.0759979 0.129245 8.85388e-08 0.26502 0.16391 0.123425 0.113255 0.023636 0.0985303 0.012995 4.25628e-11 3.92324e-10 0.0237879 0.112176 3.72956e-05 0.310983 0.168475 0.290557 0.330755 0.0608444 0.0981262 0.319294 0.507274 0.298198
4061.7 17.3577 779.587 736.905 1.00328 2.47005 0.3 0.7 0.9 1.2 1.5 2 2.2 2.6 3.2 3.7 4.3 4.8 0.104054 0.182716 0.128892 0.103612 0.22226 0.0757825 0.0548828 0.0639284 0.060102 0.00705486 5.00378e-13 2.05264e-12 0.0850376 0.0473341 0.207959 0.126808 0.429786 0.245841 0.102963 0.0355239 0.0842472 0.38677 0.400396 0.317384
433.615 1.85305 200.152 157.47 1.0082 1.029 0.3 0.7 0.9 1.4 1.6 2.1 2.5 2.7 3.3 3.8 4.3 4.4 0.102075 0.169125 0.165407 0.246149 0.0626795 0.142434 0.011025 0.0604747 0.0355116 0.00534433 0.00797681 1.28922e-08 0.159802 0.0267614 0.299058 0.0687568 0.206322 0.100404 0.05324 0.03351 0.0546156 4.77801e-10 0.0265299 2.44793e-09
434.87 1.85842 200.901 158.219 1.00833 1.03437 0.1 0.4 0.7 1.2 1.4 1.8 2.3 2.8 3.4 3.9 4.3 5 0.0319741 0.0614915 0.259069 0.1913 0.124632 0.143043 0.103218 0.0510846 0.0330982 0.000120109 0.00929569 4.01138e-11 0.0588882 0.0852862 0.180018 0.287848 0.036031 0.1486 0.106879 0.0676404 0.0135839 0.0402724 1.90628e-09 0.00932682
502.997 2.14956 238.595 195.913 1.01284 1.10502 0.1 0.3 0.9 1.2 1.6 2.1 2.5 3 3.4 3.9 4 5.1 0.0286685 0.126719 0.232379 0.158235 0.248298 0.0939352 0.0147796 0.0637442 0.0366704 4.34541e-13 2.62623e-13 0.0094113 0.00542728 0.164108 0.283542 0.0968103 0.22741 0.0720282 0.120167 0.0289357 0.030785 0.0439218 1.55749e-05 0.0318672
438.041 1.87197 202.783 160.101 1.00834 1.0145 0.3 0.7 0.8 1 1.4 1.8 2.2 2.8 3.3 4 4.5 5 0.104722 0.0652695 0.242163 0.0110817 0.289384 0.0635814 0.133118 0.0542408 0.0312887 0.00972718 0.00376772 6.35198e-11 0.157038 3.58948e-09 0.2003 0.107848 0.195976 0.123623 0.107185 0.0613164 0.0334272 0.0159459 0.0118375 5.7353e-11
502.503 2.14745 238.34 195.658 1.01337 1.00084 0.1 0.3 0.7 1 1.4 1.6 2.1 2.6 3.2 3.5 4.6 5.2 0.0161157 0.15051 5.11044e-09 0.349994 0.000348919 0.288314 0.0752106 0.0422138 0.0725204 0.00778782 5.83644e-13 0.0103584 0.00238224 0.149825 0.118589 0.236423 0.0540375 0.189894 0.127847 0.054201 0.0602534 4.56792e-11 0.00738975 5.52669e-13
436.689 1.86619 201.982 159.3 1.0083 1.07242 0.0001 0.5 0.8 1.2 1.5 1.7 2.3 2.9 3.5 3.9 4.3 5.2 0.0282535 0.15954 0.173023 0.227157 0.0374217 0.173895 0.123168 0.0515017 0.0255115 1.0387e-10 0.00882752 1.10437e-10 0.0579334 0.161124 0.115412 0.28607 6.03398e-10 0.159585 0.144571 0.0687506 5.14076e-11 0.0601337 1.62367e-10 0.0188396
436.991 1.86748 202.161 159.479 1.00811 0.995023 0.2 0.4 0.8 1.1 1.5 1.9 2.2 2.7 3.2 3.5 4.2 4.3 0.0277996 0.111842 0.239999 0.117753 0.247345 0.042022 0.113661 0.0566357 0.0256163 0.0164158 0.00901482 1.60585e-11 0.0619446 0.109627 0.188896 0.156722 0.180671 0.101475 0.0820798 0.0534086 0.0394375 0.00295627 0.0178059 3.83265e-11
434.149 1.85534 200.471 157.789 1.00841 1.0344 0.2 0.5 0.7 1.2 1.4 1.8 2.2 2.8 3.4 4.1 4.4 5.8 0.0607831 0.0211878 0.282212 0.136908 0.191152 0.0926235 0.120933 0.0626017 0.029046 0.00656851 0.00439449 2.32686e-11 0.0895402 0.05232 0.203334 0.242978 0.045623 0.164277 0.0929365 0.0706412 0.0353078 0.00325639 0.0218916 0.0122963
434.52 1.85692 200.692 158.01 1.00847 0.99799 0.3 2.77556e-17 0.7 1 1.3 1.4 2 2.6 3.3 3.8 4.3 4.4 0.0783898 0.00962533 0.24542 0.100901 0.014643 0.265386 0.15625 0.0857767 0.0396966 0.00344453 0.0089341 2.38636e-11 0.0876787 0.0372783 0.182518 0.142756 2.80797e-09 0.252923 0.144711 0.102391 0.0189869 0.0246202 0.00412704 1.21099e-09
436.86 1.86692 202.083 159.401 1.00834 0.996679 0.2 0.5 0.8 1.2 1.6 2 2.4 3 3.5 4.3 4.4 3.7 0.0471496 0.12232 0.203921 0.201338 0.185428 0.0751006 0.0985797 0.0436095 0.0226527 0.00738886 0.000849556 2.19598e-11 0.0835883 0.107473 0.181746 0.203132 0.146059 0.120678 0.0643391 0.0581533 0.0141884 0.0173214 5.41117e-10 8.35467e-11
513.263 2.19343 243.828 201.146 1.01384 0.998306 0.2 0.5 0.8 1.3 1.6 2 2.2 3 3.5 4.4 4.5 5.2 0.117507 0.01519 0.222193 0.284617 0.108784 0.129383 0.0176084 0.08109 0.0272308 0 0 0.0102422 0.088811 0.0852472 0.231349 0.204171 0.122732 0.0665543 0.108076 0.0761877 0.0112512 0.00319556 0.000732201 1.01538e-09
501.156 2.14169 237.645 194.963 1.01379 1.01411 0.2 0.4 0.6 1 1.4 1.8 2 2.7 3.3 3.8 4.5 5.2 0.0998548 0.0435477 0.051745 0.274583 0.200557 0.154275 0.0519868 0.0608014 0.0658387 3.63709e-13 1.33227e-15 0.0105959 0.0904441 9.34043e-10 0.190663 0.188421 0.210062 0.0294368 0.169872 0.0752204 0.0495862 3.69056e-11 0.0100781 0.000326604
