Chi2   rChi2   BIC   AIC    Qichtot    Qimtot  R[0]  R[1]  R[2]  R[3]  R[4]  R[5]  R[6]  R[7]  R[8]  R[9]  R[10]  R[11]  Q0ch    Q1ch    Q2ch    Q3ch    Q4ch    Q5ch    Q6ch    Q7ch    Q8ch    Q9ch    Q10ch    Q11ch    Q0m    Q1m    Q2m    Q3m    Q4m    Q5m    Q6m    Q7m    Q8m    Q9m    Q10m    Q11m
573.541 2.64305 253.426 225.783 1.04753 0.941534 0.0001 0.4 0.8 1.3 1.4 1.6 2.1 3 3.2 3.8 4.4 5 0.0959024 0.0223048 0.397718 0.0532645 4.04199e-06 0.360256 0.00695499 0.11112 0 0 0 0 0.0500251 0.159847 0.212585 0.312663 6.86155e-09 6.43221e-09 0.180247 0.0261675 0 0 0 0
565.163 2.60444 249.982 222.34 1.05799 0.965278 0.0001 0.4 0.5 1 1.4 1.6 2.2 3.2 3.3 3.9 4.5 5.1 0.0398893 0.0415603 0.235681 0.12129 0.432954 3.38021e-05 0.0942021 0.0923829 0 0 0 0 0.059292 3.42589e-06 0.239357 0.209 0.258729 0.0013988 0.172802 0.0246959 0 0 0 0
559.732 2.57941 247.723 220.08 1.06571 0.947734 0.0001 0.4 0.8 1.4 1.5 1.6 2.3 3.3 3.4 3.9 4.4 5 0.0339543 0.194201 0.192595 0.429397 0.0285728 0.00167821 0.100225 0.0850894 0 0 0 0 0.0807425 0.0686167 0.35256 0.0194781 0.27709 2.48116e-05 0.135932 0.0132891 0 0 0 0
575.047 2.64999 254.039 226.397 1.05249 0.925227 0.0001 0.4 0.7 1.3 1.4 1.7 2.1 3.1 3.2 3.7 4.3 4.8 0.100477 0.0255035 0.250296 0.442537 0.00184875 0.0209681 0.119344 0.0915132 0 0 0 0 0.0730515 0.0638188 0.273689 0.319887 3.88238e-08 3.89915e-10 0.175854 0.0189266 0 0 0 0
566.048 2.60852 250.348 222.706 1.05337 0.956731 0.0001 0.3 0.8 1.4 1.5 1.9 2.2 3.1 3.2 3.8 4.3 4.9 0.0453724 0.106417 0.32555 0.212995 0.158204 0.0768232 0.0252354 0.10277 0 0 0 0 0.0371525 0.125668 0.314571 0.253582 0.0435397 1.52697e-05 0.159883 0.0223192 0 0 0 0
553.847 2.55229 245.249 217.607 1.06374 0.972588 0.2 0.5 1 1.4 1.5 1.8 2.3 3.2 3.3 3.9 4.5 5.1 0.00168424 0.380645 0.0526207 0.197812 0.224091 0.0762246 0.0224096 0.108254 0 0 0 0 0.0655846 0.261092 0.135165 0.333877 1.19264e-07 6.57021e-10 0.161828 0.0150403 0 0 0 0
574.527 2.64759 253.827 226.185 1.05238 0.929261 0.0001 0.4 0.5 1 1.4 1.5 2.1 3.1 3.2 3.7 4.2 4.8 0.0636567 0.153745 0.0155689 0.293166 0.316852 0.000198636 0.116823 0.0923654 0 0 0 0 0.0308357 0.22211 0.0008453 0.294839 0.183578 1.67324e-06 0.17664 0.0204114 0 0 0 0
543.96 2.50673 241.034 213.392 1.0876 0.933568 0.0001 0.5 0.7 1.4 1.5 1.8 2.4 3.6 3.5 4 4.5 5.1 0.103918 3.86063e-10 0.313272 0.46322 1.07877e-06 4.04996e-09 0.127654 0.0795306 0 0 0 0 0.0839163 0.0168592 0.361221 0.0814664 0.267939 2.90189e-06 0.122164 2.60463e-09 0 0 0 0
565.194 2.60458 249.995 222.352 1.05859 0.9625 0.4 0.2 0.9 1.4 1.5 2.1 2.2 3.2 3.2 3.7 4.3 4.9 0.158591 0.0703203 0.235681 0.384299 0.00453552 0.0940831 0.0169628 0.0941185 0 0 0 0 0.165349 0.0663442 0.258965 0.277193 2.84803e-05 5.2133e-08 0.170184 0.0244354 0 0 0 0
538.567 2.48188 238.703 211.06 1.09225 0.919293 0.2 0.6 0.7 1.4 1.6 1.7 2.3 3.7 3.4 4 4.6 5.1 0.0672149 0.149723 0.244506 0.366941 0.0123585 0.00315691 0.173639 0.0747154 0 0 0 0 0.116534 2.78241e-07 0.32518 0.306217 0.000426217 0.0501118 0.118846 0.00197759 0 0 0 0
565.424 2.60564 250.09 222.448 1.05345 0.967204 0.1 0.3 0.8 1.5 1.4 2.1 2.2 3.1 3.3 3.8 4.3 4.9 0.0142856 0.152115 0.318373 0.40992 0.00246211 0.049882 4.51011e-05 0.10637 0 0 0 0 0.0336296 0.136445 0.300653 1.2166e-07 0.303511 9.62601e-09 0.167282 0.0256838 0 0 0 0
550.136 2.53519 243.676 216.034 1.08389 0.870069 0.3 0.5 0.6 1.2 1.4 1.5 2.1 3.6 3 3.6 4.2 4.7 0.103014 2.95632e-07 0.258223 0.401841 6.31881e-09 1.34487e-08 0.247251 0.0735559 0 0 0 0 0.0999377 0.224051 1.78473e-09 0.310286 0.0894158 6.83493e-08 0.146378 3.30172e-10 0 0 0 0
538.259 2.48045 238.569 210.926 1.09296 0.914679 0.2 0.6 0.8 1.3 1.7 1.4 2.3 3.7 3.5 4.1 4.7 5.2 0.0475039 0.374515 0.0029867 0.127943 2.55051e-05 0.286883 0.178607 0.0744977 0 0 0 0 0.111814 0.152042 0.190135 8.02521e-08 0.0659144 0.280718 0.114056 3.23102e-10 0 0 0 0
594.62 2.74019 261.871 234.229 1.03405 0.930996 0.1 0.4 0.3 0.9 1.3 1.4 1.9 2.8 3 3.6 4.2 4.8 0.0397388 0.209468 0.00181631 0.177392 2.09833e-06 0.45273 0.0267607 0.126146 0 0 0 0 0.0442281 0.000182837 0.131809 0.369245 0.114979 3.03039e-07 0.229671 0.0408794 0 0 0 0
571.823 2.63513 252.723 225.081 1.05259 0.936216 0.0001 0.4 0.5 1.1 1.4 1.6 2.1 3.1 3.3 3.9 4.4 4.9 0.037309 0.196533 0.0355777 0.329518 0.172064 0.0867372 0.0996335 0.0952229 0 0 0 0 0.0163378 0.261884 0.000201289 0.337945 0.111511 3.9679e-06 0.186274 0.0220582 0 0 0 0
565.036 2.60385 249.929 222.287 1.05841 0.952646 0.0001 0.5 0.7 1.3 1.4 1.5 2.2 3.2 3.3 3.9 4.4 4.9 0.0473282 0.268701 0.0342202 0.405762 0.00754881 0.102577 0.101983 0.0902917 0 0 0 0 0.0815959 0.0679764 0.273679 0.165159 0.172458 0.00515592 0.166164 0.0204569 0 0 0 0
573.043 2.64075 253.222 225.58 1.05241 0.928595 0.1 0.4 0.9 1.3 1.4 1.5 2.1 3.1 3.2 3.8 4.3 4.8 0.0394251 0.218817 0.116054 0.44781 0.00150832 0.0147641 0.12193 0.0920974 0 0 0 0 0.037905 0.20655 0.20088 0.282953 1.79538e-08 4.07957e-07 0.181063 0.019245 0 0 0 0
