Chi2   rChi2   BIC   AIC    Qichtot    Qimtot  R[0]  R[1]  R[2]  R[3]  R[4]  R[5]  R[6]  R[7]  R[8]  R[9]  R[10]  R[11]  Q0ch    Q1ch    Q2ch    Q3ch    Q4ch    Q5ch    Q6ch    Q7ch    Q8ch    Q9ch    Q10ch    Q11ch    Q0m    Q1m    Q2m    Q3m    Q4m    Q5m    Q6m    Q7m    Q8m    Q9m    Q10m    Q11m
677.583 3.1225 292.434 264.791 1.04975 0.968479 0.3 0.5 0.8 1.4 1.5 2 2.1 2.8 3.3 3.8 4.4 4.9 0.0193178 0.367191 0.00456636 0.292069 0.225603 1.34489e-08 4.13242e-07 0.141006 0 0 0 0 0.186917 8.46384e-07 0.282845 0.306605 0.0035899 0.000171639 0.152379 0.03597 0 0 0 0
657.038 3.02782 285.229 257.586 1.0634 1.01365 0.2 0.5 0.8 1.4 1.5 2.2 2.2 3 3.2 3.8 4.3 4.8 0.0708437 0.181264 0.205414 0.0217418 0.429411 0.0142567 0.0133586 0.127108 0 0 0 0 0.0930061 0.153782 0.208252 0.351375 2.40643e-06 0.161958 0.00866617 0.0366074 0 0 0 0
644.671 2.97083 280.783 253.14 1.07488 1.03923 0.2 0.6 1 1.4 1.5 1.9 2.3 3.2 3.2 3.8 4.4 4.9 0.165946 0.00279322 0.49615 5.46157e-08 0.0688284 0.230298 9.32331e-06 0.110855 0 0 0 0 0.0990445 0.27682 0.0990663 0.237116 0.121261 8.98993e-06 0.172455 0.0334606 0 0 0 0
632.83 2.91627 276.445 248.802 1.08479 1.0469 0.0001 0.6 0.8 1.5 1.6 1.8 2.5 3.4 3.4 4 4.5 5.1 0.0916821 0.117322 0.273639 0.410899 0.000369813 0.0104026 0.0942208 0.0862509 0 0 0 0 0.0922187 0.108034 0.327536 0.089133 0.256411 0.0169871 0.138595 0.0179853 0 0 0 0
633.527 2.91948 276.702 249.06 1.08604 1.04704 0.0001 0.7 0.9 1.6 1.8 1.9 2.5 3.4 3.6 4.1 4.6 5.1 0.112008 0.112616 0.339238 0.348702 3.01541e-08 3.45618e-08 0.0842677 0.0892088 0 0 0 0 0.0954193 0.293099 0.152767 0.35017 3.10773e-10 1.64765e-10 0.137485 0.0180947 0 0 0 0
639.713 2.94798 278.976 251.333 1.07893 1.04001 0.2 0.5 0.8 1.4 1.5 1.6 2.4 3.3 3.4 3.9 4.4 4.9 0.139335 2.30182e-05 0.343352 0.220141 0.0031074 0.191998 0.0874639 0.0935071 0 0 0 0 0.114514 0.0737256 0.317842 2.60837e-07 0.280178 0.0770028 0.151824 0.0249214 0 0 0 0
661.731 3.04945 286.894 259.252 1.09507 0.918477 0.3 0.5 0.6 0.9 1.4 1.5 2.2 3.5 3.1 3.6 4.2 4.7 0.178822 5.78111e-11 2.05379e-10 0.374806 0.24779 4.40059e-10 0.217767 0.0758881 0 0 0 0 0.129121 0.153442 0.000227255 0.174547 0.324644 2.93543e-08 0.135946 0.000550596 0 0 0 0
695.376 3.2045 298.499 270.857 1.04517 0.988651 0.2 0.5 0.6 0.7 1.3 1.4 2.1 2.9 3.1 3.6 4.2 4.7 0.0805893 3.9757e-05 0.0259284 0.357946 2.58231e-05 0.364321 0.118476 0.0978476 0 0 0 0 0.0839233 0.16244 0.0179429 0.123489 0.379974 1.45021e-05 0.180874 0.0399936 0 0 0 0
656.285 3.02436 284.961 257.318 1.06355 1.01029 0.2 0.5 0.9 1.4 1.5 2.2 1.9 3 3.3 3.9 4.4 5 0.0761824 0.196898 0.208863 0.114736 0.259899 1.30775e-08 0.0794804 0.127496 0 0 0 0 0.0776889 0.220101 0.16828 0.33594 0.00273956 0.170804 4.10057e-08 0.0347342 0 0 0 0
646.558 2.97953 281.467 253.824 1.07282 1.03443 0.3 0.5 0.8 1.4 1.5 1.9 2.3 3.2 3.4 3.9 4.4 5 0.178914 0.0176139 0.24044 0.408465 0.000333519 0.0516937 0.0734811 0.101875 0 0 0 0 0.160217 0.0652791 0.239112 0.242397 0.125855 8.32424e-05 0.169538 0.0319447 0 0 0 0
